Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,No,,No,☐,,No (0Y/0M/3N),,
NR26,Siltumsūknis,N,No,,No,☐,,No (0Y/0M/3N),,
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,☐,,No (0Y/0M/3N),,
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,No,,Yes,☑,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi""",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi",Yes,☑,"Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi un apsildāmi arējie atpakaļskata spoguļi""",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Lietus sensors,Yes,☑,Lietus sensors,Maybe (2Y/1M/0N),Lietus sensors,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No,☐,,No (0Y/0M/3N),,
NR37,Apsildāms vējstikls,N,Yes,Laminēts vējstikls ar apsildi,Yes,☑,Laminēts vējstikls ar apsildi,Yes (3Y/0M/0N),"""Laminēts vējstikls ar apsildi""",
NR38,Bagāžnieka durvis - Elektriskas,N,No,,No,☐,,No (0Y/0M/3N),,
