Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,No,,No,☐,,No (0Y/0M/3N),,
NR26,Siltumsūknis,N,No,,No,☐,,No (0Y/0M/3N),,
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,☐,,No (0Y/0M/3N),,
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,No,,Yes,☑,"Door Mirrors - Power/Heated mentioned in ""P49 Spoguļu pakotne - ietver 252 Pašaptumšojošs atpakaļskata spogulis 500 Elektriski nolokāmi ārējie spoguļi""",Yes (3Y/0M/0N),"""P49 Spoguļu pakotne - ietver 252 Pašaptumšojošs atpakaļskata spogulis 500 Elektriski nolokāmi ārējie spoguļi""",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,Yes,☑,"Door Mirrors - Power/Heated/Foldback mentioned in ""P49 Spoguļu pakotne - ietver 252 Pašaptumšojošs atpakaļskata spogulis 500 Elektriski nolokāmi ārējie spoguļi""",Maybe (1Y/0M/2N),"""P49 Spoguļu pakotne - ietver 252 Pašaptumšojošs atpakaļskata spogulis 500 Elektriski nolokāmi ārējie spoguļi""",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/1N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,No,,Yes,☑,"Front Wipers - Automatic mentioned in ""S S S""",No (0Y/0M/3N),,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No,☐,,No (0Y/0M/3N),,
