Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR25,V2L funkcija,No,☐,N,No (0Y/0M/3N),,
NR26,Siltumsūknis,Yes,☑,N,Siltumsūknis,,
NR27,— PIEDZIŅAS SISTĒMA —,,,N,,,
NR28,4X4 pilna laika (4WD / AWD),No,☐,N,No (0Y/0M/3N),,
NR29,— ĀRĒJAIS IZSKATS -  IZSKATS/STILS —,,,N,,,
NR30,Krāsa - Metāliska (standarta),Yes,☑,N,Metāliska krāsa,,
NR31,— ĀRĒJAIS IZSKATS -  FUNKCIONALITĀTE —,,,N,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,Maybe,☑,N,"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",,
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,Yes,☑,N,"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",,
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,No,☐,N,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,Yes,☑,N,Lietus sensors,,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,Yes,☑,N,Tonēti aizmugurējie stikli,,
NR37,Apsildāms vējstikls,No,☐,N,No (0Y/0M/3N),,
NR38,Bagāžnieka durvis - Elektriskas,Yes,☑,N,Elektriski atverams/ aizverams bagāžas nodalījuma vāks,,
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,No,☐,N,No (0Y/0M/3N),,
NR40,Jumta sliedes,Yes,☑,N,Alumīnija jumta sliedes,,
NR41,Priekšējais bagāžnieks,No,☐,N,No (0Y/0M/3N),,
NR42,Panorāmas jumts,Yes,☑,N,Panorāmas lūka,,
NR43,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,,,N,,,
NR44,Dienas gaitas lukturi - LED,Yes,☑,N,LED dienas gaitas gaismas,,
NR45,Priekšējie miglas lukturi - LED,No,☐,N,No (0Y/0M/3N),,
NR46,Priekšējie miglas lukturi – LED integrēti,No,☐,N,No (0Y/0M/3N),,
NR47,Priekšējo lukturu vadība – automātiska,Yes,☑,N,LED automātiskie priekšējie lukturi,,
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,Maybe,☑,N,Tālo gaismu asistents,,
NR49,Priekšējie lukturi – LED,Yes,☑,N,LED automātiskie priekšējie lukturi,,
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,No,☐,N,Tālo gaismu asistents,,
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,No,☐,N,No (0Y/0M/3N),,
NR52,— INTERJERS – KOMFORTS/ĒRTĪBAS —,,,N,,,
NR53,Gaisa kondicionētājs,No,☐,N,No (0Y/0M/3N),,
NR54,Gaisa kondicionētājs – EATC 2 zonas,No,☐,N,No (0Y/0M/3N),,
NR55,Gaisa kondicionētājs – EATC 3 zonas,No,☐,N,No (0Y/0M/3N),,
NR56,Salona gaisa attīrītājs,No,☐,N,No (0Y/0M/3N),,
NR57,Apgaismojums – salons ar daudzkrāsu LED,Yes,☑,N,Ambient LED salona apgaismojums,,
NR58,Centrālā konsole ar roku balstu,Yes,☑,N,Priekšējais centrālais roku balsts ar glāžu turētājiem,,
NR59,Automātiski tumšojams salona spogulis,Yes,☑,N,Automātiski aptumšojošs atpakaļskata spogulis,,
NR60,12 V bagāžas nodalījumā,No,☐,N,No (0Y/0M/3N),,
NR61,Bezvadu uzlāde,Yes,☑,N,Bezvadu viedtālruņu uzlāde,,
NR62,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,,,N,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",No,☐,N,No (0Y/0M/3N),,
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",No,☐,N,No (0Y/0M/3N),,
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",No,☐,N,No (0Y/0M/3N),,
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,Yes,☑,N,"15,6"" rotējams skārienjutīgs multimēdiju ekrāns",,
NR67,Zīmola audio sistēma,No,☐,N,No (0Y/0M/3N),,
NR68,Navigācijas centrs,No,☐,N,No (0Y/0M/3N),,
NR69,Navigācijas centrs - savienots,No,☐,N,No (0Y/0M/3N),,
NR70,Android Auto un Apple CarPlay,Yes,☑,N,Android Auto un Apple Car Play,,
NR71,Android Auto un Apple CarPlay - bezvadu,No,☐,N,No (0Y/0M/3N),,
NR72,Vieds palīgs ar AI,No,☑,N,"Inteliģents balss vadības sistēma - ""Hi, BYD""",,
NR73,Head - Up displejs,No,☐,N,No (0Y/0M/3N),,
NR74,— INTERJERS -  INSTRUMENTI/VADĪBAS ELEMENTI —,,,N,,,
NR75,Apsildāms stūres rats,Yes,☑,N,Multifunkcionāla stūre ar Eco ādas apdari un apsildi,,
NR76,Ādas stūres rats,No,☐,N,Multifunkcionāla stūre ar Eco ādas apdari un apsildi,,
NR77,"Digitālais displejs – līdz 8,9""",Yes,☐,N,"5"" digitāls instrumentu panelis",,
