Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,Yes,220V elektrības padeves sistēma (V2L),Yes,☑,220V elektrības padeves sistēma (V2L),Yes (3Y/0M/0N),"""220V elektrības padeves sistēma (V2L)""",
NR26,Siltumsūknis,N,Yes,Siltumsūknis,Yes,☑,Siltumsūknis,Yes (3Y/0M/0N),"""Siltumsūknis""",
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,Yes,Metāliska krāsa,Yes,☑,Metāliska krāsa,Yes (3Y/0M/0N),"""Metāliska krāsa""",
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Maybe,"Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi ar apgaismojumu",Maybe,☑,"Ārējie spoguļi, elektriski regulējami, apsildāmi",Yes (3Y/0M/0N),"""Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi""",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,"Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi ar apgaismojumu",Yes,☑,"Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi",Yes (3Y/0M/0N),"""Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi""",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Lietus sensors,Maybe,☑,Lietus sensors,No (0Y/1M/2N),"""Lietus sensors""",
