Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,No,,No,☐,,No (0Y/0M/3N),,
NR26,Siltumsūknis,N,Yes,Siltumsūknis,Yes,☑,Siltumsūknis,Yes (3Y/0M/0N),Siltumsūknis,
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,Yes,Metāliska krāsa,Yes,☑,Metāliska krāsa,Yes (3Y/0M/0N),Metāliska krāsa,
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Maybe,"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",Maybe,☑,"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",Maybe (2Y/1M/0N),"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",Yes,☑,"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",Yes (3Y/0M/0N),"Ārējie spoguļi, elektriski regulējami, nolokāmi, apsildāmi",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Lietus sensors,Yes,☑,Lietus sensors,Yes (3Y/0M/0N),Lietus sensors,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,Yes,Tonēti aizmugurējie stikli,Yes,☑,Tonēti aizmugurējie stikli,Yes (3Y/0M/0N),Tonēti aizmugurējie stikli,
NR37,Apsildāms vējstikls,N,No,,No,☐,,No (0Y/0M/3N),,
NR38,Bagāžnieka durvis - Elektriskas,N,Yes,Elektriski atverams/ aizverams bagāžas nodalījuma vāks,Yes,☑,Elektriski atverams/ aizverams bagāžas nodalījuma vāks,Yes (3Y/0M/0N),Elektriski atverams/ aizverams bagāžas nodalījuma vāks,
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N,No,,No,☐,,No (0Y/0M/3N),,
NR40,Jumta sliedes,N,Yes,Alumīnija jumta sliedes,Yes,☑,Alumīnija jumta sliedes,Yes (3Y/0M/0N),Alumīnija jumta sliedes,
NR41,Priekšējais bagāžnieks,N,No,,No,☐,,No (0Y/0M/3N),,
NR42,Panorāmas jumts,N,Yes,Panorāmas lūka,Yes,☑,Panorāmas lūka,Yes (3Y/0M/0N),Panorāmas lūka,
NR43,Ārējais Izskats -  Apgaismojums,Y,,,,☐,,,,
NR44,Dienas gaitas lukturi - LED,N,Yes,LED dienas gaitas gaismas,Yes,☑,LED dienas gaitas gaismas,Yes (3Y/0M/0N),LED dienas gaitas gaismas,
