Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,No,,No,☐,,No (0Y/0M/3N),,
NR26,Siltumsūknis,N,No,,No,☐,,No (0Y/0M/3N),,
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,☐,,No (0Y/0M/3N),,
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Yes,"Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi",Yes,☑,"Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi""",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,"Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi",Yes,☑,"Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi, apsildāmi sānu atpakaļskata spoguļi""",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Maybe,Gaismas asistents (Light Assist) ar lietus sensoru,No,☐,,No (0Y/2M/1N),"""Gaismas asistents (Light Assist) ar lietus sensoru""",
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No,☐,,No (0Y/0M/3N),,
NR37,Apsildāms vējstikls,N,No,,No,☐,,No (0Y/0M/3N),,
NR38,Bagāžnieka durvis - Elektriskas,N,No,,No,☐,,No (0Y/0M/3N),,
