Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,No,,No,☐,,No (0Y/0M/3N),,
NR26,Siltumsūknis,N,Yes,Siltumsūknis,Yes,☑,Siltumsūknis,Yes (3Y/0M/0N),Siltumsūknis,
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,☐,,No (0Y/0M/3N),,
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Yes,"Automātiski pielokāmi, apsildāmi sānu spoguļi",Maybe,☑,"Automātiski pielokāmi, apsildāmi sānu spoguļi",Maybe (2Y/0M/1N),"Automātiski pielokāmi, apsildāmi sānu spoguļi",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,"Automātiski pielokāmi, apsildāmi sānu spoguļi",Yes,☑,"Automātiski pielokāmi, apsildāmi sānu spoguļi",Yes (3Y/0M/0N),"Automātiski pielokāmi, apsildāmi sānu spoguļi",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Vējstikla tīrītāji ar lietus sensoru,Yes,☑,Vējstikla tīrītāji ar lietus sensoru,Yes (3Y/0M/0N),Vējstikla tīrītāji ar lietus sensoru,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,Yes,Tonēti aizmugurējo logu stikli,Yes,☑,Tonēti aizmugurējo logu stikli,Yes (3Y/0M/0N),Tonēti aizmugurējo logu stikli,
NR37,Apsildāms vējstikls,N,Yes,Apsildāms vējstikls,Yes,☑,Apsildāms vējstikls,Yes (3Y/0M/0N),Apsildāms vējstikls,
NR38,Bagāžnieka durvis - Elektriskas,N,No,,Maybe,☑,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",Maybe (2Y/0M/1N),"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N,Yes,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",Yes,☑,"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",Yes (3Y/0M/0N),"Elektriski, ar brīvroku funkciju vadāmas bagāžas nodalījuma durvis",
NR40,Jumta sliedes,N,No,,No,☐,,No (0Y/0M/3N),,
NR41,Priekšējais bagāžnieks,N,No,,No,☐,,No (0Y/0M/3N),,
NR42,Panorāmas jumts,N,No,,No,☐,,No (0Y/0M/3N),,
NR43,Ārējais Izskats -  Apgaismojums,Y,,,,☐,,,,
