Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,Yes,"Elektrības padeves funkcija no automašīnas līdz 3,5k W jaudai",Yes,☑,"Elektrības padeves funkcija no automašīnas līdz 3,5k W jaudai",Yes (3Y/0M/0N),"""Elektrības padeves funkcija no automašīnas līdz 3,5k W jaudai""",
NR26,Siltumsūknis,N,Yes,Siltumsūknis,Yes,☑,Siltumsūknis,Yes (3Y/0M/0N),"""Siltumsūknis""",
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,☐,,No (0Y/0M/3N),,
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Elektriski regulējami spoguļi ar apsildi,Yes,☑,Elektriski regulējami spoguļi ar apsildi,Yes (3Y/0M/0N),"""Elektriski regulējami spoguļi ar apsildi""",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,"Elektriski nolokāmi, regulējami un apsildāmi sānskata spoguļi",Yes,☑,"Elektriski nolokāmi, regulējami un apsildāmi sānskata spoguļi",Yes (3Y/0M/0N),"""Elektriski nolokāmi, regulējami un apsildāmi sānskata spoguļi""",
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Maybe,Lietus sensors,Yes,☑,Lietus sensors,No (0Y/3M/0N),"""Lietus sensors""",
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,Yes,Tumši aizmugurējais stikls un aizmugurējo durvju logi,Maybe,☑,Tumši aizmugurējais stikls un aizmugurējo durvju logi,Yes (3Y/0M/0N),"""Tumši aizmugurējais stikls un aizmugurējo durvju logi""",
NR37,Apsildāms vējstikls,N,No,,No,☐,,No (0Y/0M/3N),,
NR38,Bagāžnieka durvis - Elektriskas,N,No,,No,☐,,No (0Y/0M/3N),,
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N,No,,No,☐,,No (0Y/0M/3N),,
NR40,Jumta sliedes,N,No,,No,☐,,No (0Y/0M/3N),,
NR41,Priekšējais bagāžnieks,N,No,,No,☐,,No (0Y/0M/3N),,
NR42,Panorāmas jumts,N,No,,No,☐,,No (0Y/0M/3N),,
NR43,Ārējais Izskats -  Apgaismojums,Y,,,,☐,,,,
NR44,Dienas gaitas lukturi - LED,N,Yes,LED dienas gaitas lukturi,Yes,☑,LED dienas gaitas lukturi,Yes (3Y/0M/0N),"""LED dienas gaitas lukturi""",
NR45,Priekšējie miglas lukturi - LED,N,No,,No,☐,,No (0Y/0M/3N),,
NR46,Priekšējie miglas lukturi – LED integrēti,N,No,,No,☐,,No (0Y/0M/3N),,
NR47,Priekšējo lukturu vadība – automātiska,N,Yes,Tālo gaismu automātiskā pārslēgšanās,Yes,☑,Tālo gaismu automātiskā pārslēgšanās,Maybe (1Y/2M/0N),"""Tālo gaismu automātiskā pārslēgšanās""",
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,N,No,,Yes,☑,Tālo gaismu automātiskā pārslēgšanās,Yes (3Y/0M/0N),"""Tālo gaismu automātiskā pārslēgšanās""",
NR49,Priekšējie lukturi – LED,N,No,,Maybe,☑,Inteliģenta Matrix LED priekšējā apgaismojuma sistēma,No (0Y/0M/3N),,
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No,☐,,No (0Y/0M/3N),,
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,Yes,Inteliģenta Matrix LED priekšējā apgaismojuma sistēma,Yes,☑,Inteliģenta Matrix LED priekšējā apgaismojuma sistēma,Yes (3Y/0M/0N),"""Inteliģenta Matrix LED priekšējā apgaismojuma sistēma""",
NR52,Interjers – Komforts/Ērtības,Y,,,,☐,,,,
NR53,Gaisa kondicionētājs,N,No,,No,☐,,No (0Y/0M/3N),,
NR54,Gaisa kondicionētājs – EATC 2 zonas,N,Yes,Divzonu automātiskā klimata kontrole,Yes,☑,Divzonu automātiskā klimata kontrole,Yes (3Y/0M/0N),"""Divzonu automātiskā klimata kontrole""",
NR55,Gaisa kondicionētājs – EATC 3 zonas,N,No,,No,☐,,No (0Y/0M/3N),,
NR56,Salona gaisa attīrītājs,N,No,,No,☐,,No (0Y/0M/3N),,
NR57,Apgaismojums – salons ar daudzkrāsu LED,N,Yes,Apkārtējais salona apgaismojums,Yes,☑,Apkārtējais salona apgaismojums,No (0Y/0M/3N),,
NR58,Centrālā konsole ar roku balstu,N,Yes,Elkoņu balsts vadītāja sēdeklim,Yes,☑,Elkoņu balsts vadītāja sēdeklim,Yes (3Y/0M/0N),"""Elkoņu balsts vadītāja sēdeklim""",
