Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,V2L funkcija,N,No,,No,☐,,No (0Y/0M/3N),,
NR26,Siltumsūknis,N,No,,No,☐,,No (0Y/0M/3N),,
NR27,Piedziņas Sistēma,Y,,,,☐,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/1M/2N),"""Audi Q4e-tron pilnībā elektriskā piedziņas sistēma ir aprīkota ar elektromotoru uz aizmugurējā tilta vai, quattro modeļos, ar elektromotoru uz katra tilta.""",
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,☐,,No (0Y/0M/3N),,
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,No,,Yes,☑,"Sānu spoguļi, elektriski regulējami un apsildāmi",Yes (3Y/0M/0N),"""Sānu spoguļi, elektriski regulējami un apsildāmi""",
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,No,,No,☐,,No (0Y/0M/3N),,
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,No,,No,☐,,No (0Y/0M/3N),,
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,Yes,☑,"Siltumizolējošs stikls aizmugurējam logam, durvju logiem un sānu logiem; tonēti zaļā krāsā",Maybe (1Y/0M/2N),"""Siltumizolējošs stikls aizmugurējam logam, durvju logiem un sānu logiem; tonēti zaļā krāsā""",
NR37,Apsildāms vējstikls,N,No,,Yes,☑,ieskaitot apsildāmas vējstikla mazgātāja sprauslas,No (0Y/0M/3N),,
