Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Consensus Reasoning,Include
NR25,V2L funkcija,N,No,,No,,No (0Y/0M/3N),,No mention of V2L functionality in the specifications.; No mention of V2L function in the specifications.; No mention of V2L function in the specifications.,☐
NR26,Siltumsūknis,N,No,,No,,No (0Y/0M/3N),,No mention of heat pump technology in the specifications.; No mention of heat pump technology in the specifications.; No mention of heat pump technology in the specifications.,☐
NR27,Piedziņas Sistēma,Y,,,,,,,,
NR28,4X4 pilna laika (4WD / AWD),N,No,,No,,No (0Y/0M/3N),,No mention of 4X4 full-time (4WD/AWD) in the specifications.; No mention of 4X4 full-time (4WD/AWD) in the specifications.; No mention of 4X4 full-time (4WD/AWD) in the specifications.,☐
NR29,Ārējais Izskats -  Izskats/Stils,Y,,,,,,,,
NR30,Krāsa - Metāliska (standarta),N,No,,No,,No (0Y/0M/3N),,No mention of metallic color (standard) in the specifications.; No mention of metallic color (standard) in the specifications.; No mention of metallic color in the specifications.,☐
NR31,Ārējais Izskats -  Funkcionalitāte,Y,,,,,,,,
NR32,Durvju spoguļi - Elektriski/sildāmi,N,Yes,Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju,Yes,Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju,Yes (3Y/0M/0N),"""Elektriski regulējami sānu spoguļi ar pagrieziena rādītāju""","The specification clearly states ""Elektriski regulējami sānu spoguļi,"" which confirms the presence of electric side mirrors.; Clearly states that the side mirrors are heated and automatically foldable.; The specification explicitly mentions ""Elektriski regulējami sānu spoguļi,"" which confirms that the side mirrors are electrically adjustable.",☑
NR33,Durvju spoguļi - Elektriski/sildāmi/salokāmi,N,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Yes,Apsildāmi un automātiski pielokāmi sānu spoguļi,Maybe (2Y/0M/1N),"""Apsildāmi un automātiski pielokāmi sānu spoguļi""","The specification includes ""Apsildāmi un automātiski pielokāmi sānu spoguļi,"" confirming that the side mirrors are electric, heated, and foldable.; No mention of electrically heated folding mirrors with memory in the specifications.; The specification states that the side mirrors are heated and can be automatically folded, confirming they are electrically adjustable, heated, and foldable.",☑
NR34,Durvju spoguļi - Elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,,No (0Y/0M/3N),,"No mention of electric, heated, foldable side mirrors with memory in the specifications.; No mention of electrically heated folding mirrors with memory in the specifications.; No mention of side mirrors being electrically adjustable, heated, foldable with memory in the specifications.",☐
NR35,Priekšējie vējstikla tīrītāji - Automātiski,N,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes,Automātiski stikla tīrītāji un lietus sensors,Yes (3Y/0M/0N),"""Automātiski stikla tīrītāji un lietus sensors""","The specification mentions ""Automātiski stikla tīrītāji,"" indicating that the front windshield wipers are automatic.; States that the front windshield wipers are automatic.; The specification includes ""Automātiski stikla tīrītāji,"" which confirms that the front windshield wipers are automatic.",☑
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No,,No (0Y/0M/3N),,No mention of tinted glass for privacy protection at the rear in the specifications.; No mention of tinted glass with privacy protection at the rear in the specifications.; No mention of tinted glass for privacy protection in the specifications.,☐
NR37,Apsildāms vējstikls,N,No,,No,,No (0Y/0M/3N),,No mention of a heated windshield in the specifications.; No mention of heated windscreen in the specifications.; No mention of a heated windshield in the specifications.,☐
NR38,Bagāžnieka durvis - Elektriskas,N,No,,No,,No (0Y/0M/3N),,No mention of electric tailgate in the specifications.; No mention of electric tailgate in the specifications.; No mention of electric tailgate in the specifications.,☐
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N,No,,No,,No (0Y/0M/3N),,No mention of electric tailgate with hands-free operation in the specifications.; No mention of electric tailgate with hands-free operation in the specifications.; No mention of electric tailgate with hands-free operation in the specifications.,☐
NR40,Jumta sliedes,N,No,,No,,No (0Y/0M/3N),,No mention of roof rails in the specifications.; No mention of roof rails in the specifications.; No mention of roof rails in the specifications.,☐
NR41,Priekšējais bagāžnieks,N,No,,No,,No (0Y/0M/3N),,No mention of a front trunk in the specifications.; No mention of front trunk in the specifications.; No mention of a front trunk in the specifications.,☐
NR42,Panorāmas jumts,N,No,,No,,No (0Y/0M/3N),,No mention of a panoramic roof in the specifications.; No mention of panoramic roof in the specifications.; No mention of a panoramic roof in the specifications.,☐
NR43,Ārējais Izskats -  Apgaismojums,Y,,,,,,,,
NR44,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,Yes,LED dienas apgaismojuma lukturi,Yes (3Y/0M/0N),"""LED dienas apgaismojuma lukturi""","The specification states ""LED dienas apgaismojuma lukturi,"" confirming the presence of LED daytime running lights.; Clearly states that there are LED daytime running lights.; The specification mentions ""LED dienas apgaismojuma lukturi,"" confirming the presence of LED daytime running lights.",☑
NR45,Priekšējie miglas lukturi - LED,N,No,,No,,No (0Y/0M/3N),,No mention of front fog lights - LED in the specifications.; No mention of front fog lights being LED in the specifications.; No mention of front fog lights being LED in the specifications.,☐
NR46,Priekšējie miglas lukturi – LED integrēti,N,No,,No,,No (0Y/0M/3N),,No mention of integrated LED front fog lights in the specifications.; No mention of integrated LED front fog lights in the specifications.; No mention of integrated LED front fog lights in the specifications.,☐
NR47,Priekšējo lukturu vadība – automātiska,N,No,,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes (3Y/0M/0N),"""Inteliģentie automātiskie priekšējie lukturi""","The specification states ""Inteliģentie automātiskie priekšējie lukturi,"" confirming automatic control of the front lights.; Clearly states that the front headlights have automatic control.; The specification states ""Inteliģentie automātiskie priekšējie lukturi,"" which confirms automatic control of front headlights.",☑
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,N,No,,No,,No (0Y/0M/3N),,No mention of automatic high/low beam headlight control in the specifications.; No mention of automatic high/low beam headlight control in the specifications.; No mention of automatic high/low beam control for front headlights in the specifications.,☐
NR49,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,Yes,LED priekšējie lukturi,Yes (3Y/0M/0N),"""LED priekšējie lukturi""","The specification mentions ""LED priekšējie lukturi,"" confirming the presence of LED front headlights.; Clearly states that the front headlights are LED.; The specification states ""LED priekšējie lukturi,"" confirming the presence of LED front headlights.",☑
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive LED headlights without Matrix or Glare Free in the specifications.; No mention of adaptive LED headlights without Matrix or Glare Free in the specifications.; No mention of adaptive LED headlights without Matrix or Glare Free in the specifications.,☐
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive LED headlights with Matrix or Glare Free in the specifications.; No mention of adaptive LED headlights with Matrix or Glare Free in the specifications.; No mention of adaptive LED headlights with Matrix or Glare Free in the specifications.,☐
NR52,Interjers – Komforts/Ērtības,Y,,,,,,,,
NR53,Gaisa kondicionētājs,N,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes (3Y/0M/0N),"""Automātiskā gaisa kondicionēšanas sistēma""","The specification states ""Automātiskā gaisa kondicionēšanas sistēma,"" confirming the presence of an air conditioning system.; Clearly states that there is an automatic air conditioning system.; The specification mentions ""Automātiskā gaisa kondicionēšanas sistēma,"" confirming the presence of an air conditioning system.",☑
NR54,Gaisa kondicionētājs – EATC 2 zonas,N,No,,No,,No (0Y/0M/3N),,No mention of EATC 2 zone air conditioning in the specifications.; No mention of EATC 2 zones air conditioning in the specifications.; No mention of EATC 2-zone air conditioning in the specifications.,☐
NR55,Gaisa kondicionētājs – EATC 3 zonas,N,No,,No,,No (0Y/0M/3N),,No mention of EATC 3 zone air conditioning in the specifications.; No mention of EATC 3 zones air conditioning in the specifications.; No mention of EATC 3-zone air conditioning in the specifications.,☐
NR56,Salona gaisa attīrītājs,N,No,,No,,No (0Y/0M/3N),,No mention of a cabin air purifier in the specifications.; No mention of cabin air purifier in the specifications.; No mention of a cabin air purifier in the specifications.,☐
NR57,Apgaismojums – salons ar daudzkrāsu LED,N,No,,Yes,Automobiļa salona apgaismojums priekšā un aizmugurē,No (0Y/0M/3N),,No mention of multi-color LED cabin lighting in the specifications.; No mention of multi-color LED salon lighting in the specifications.; No mention of multi-color LED interior lighting in the specifications.,☑
NR58,Centrālā konsole ar roku balstu,N,No,,Yes,Priekšējais elkoņbalsts,No (0Y/0M/3N),,No mention of a central console with an armrest in the specifications.; No mention of a center console with an armrest in the specifications.; No mention of a center console with an armrest in the specifications.,☑
NR59,Automātiski tumšojams salona spogulis,N,No,,No,,No (0Y/0M/3N),,No mention of an automatically dimming interior mirror in the specifications.; No mention of an automatically dimming interior mirror in the specifications.; No mention of an automatically dimming interior mirror in the specifications.,☐
NR60,12 V bagāžas nodalījumā,N,No,,Yes,12V USB pieslēgvieta aizmugurē,No (0Y/0M/3N),,No mention of a 12V socket in the trunk in the specifications.; No mention of a 12V outlet in the trunk in the specifications.; No mention of a 12V outlet in the trunk in the specifications.,☑
NR61,Bezvadu uzlāde,N,No,,No,,No (0Y/0M/3N),,No mention of wireless charging in the specifications.; No mention of wireless charging in the specifications.; No mention of wireless charging in the specifications.,☐
NR62,Interjers – In car entertainment/komunikācijas,Y,,,,,,,,
