Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR25,Piedziņa,Y,,,,☐,,,,
NR26,4X4 pilna laika (4WD / AWD),N,No,,No,☐,,No (0Y/0M/3N),,
NR27,Ārējais Izskats -  Izskats/Stils,Y,,,,☐,,,,
NR28,Krāsa – metāliska kā standarta,N,No,,No,☐,,No (0Y/0M/3N),,
NR29,Ārējais Izskats -  Funkcionalitāte,Y,,,,☐,,,,
NR30,Durvju spoguļi - elektriski/sildāmi,N,Yes,"Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi",Maybe,☑,"Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi""",
NR31,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,"Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi",Yes,☑,"Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi",Yes (3Y/0M/0N),"""Elektriski regulējami, nolokāmi un apsildāmi ārējie spoguļi""",
NR32,Durvju spoguļi - elektriski/sildāmi/salokāmi ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR33,Priekšējie Vējstikla Tīrītāji -  Automātiski,N,Yes,Lietus sensors,Maybe,☑,Lietus sensors,Maybe (1Y/1M/1N),"""Lietus sensors""",
NR34,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,Yes,Tonēti stikli,Yes,☑,Tonēti stikli,Yes (3Y/0M/0N),"""Tonēti stikli""",
NR35,Apsildāms vējstikls,N,No,,No,☐,,No (0Y/0M/3N),,
NR36,Bagāžnieka durvis - Elektriski atveramas,N,No,,No,☐,,No (0Y/0M/3N),,
NR37,Bagāžnieka durvis - Elektriski atveramas ar bezroku vadību,N,No,,No,☐,,No (0Y/0M/3N),,
NR38,Jumta sliedes,N,No,,No,☐,,No (0Y/0M/3N),,
NR39,Priekšējais bagāžnieks,N,No,,No,☐,,No (0Y/0M/3N),,
NR40,Panorāmas jumts,N,No,,No,☐,,No (0Y/0M/3N),,
NR41,Ārējais Izskats -  Apgaismojums,Y,,,,☐,,,,
NR42,Dienas gaitas lukturi - LED,N,No,,No,☐,,No (0Y/0M/3N),,
NR43,Priekšējie miglas lukturi - LED,N,No,,No,☐,,No (0Y/0M/3N),,
NR44,Priekšējie miglas lukturi – LED integrēti,N,No,,No,☐,,No (0Y/0M/3N),,
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,No,,Maybe,☑,Automātiskā tālās gaismas pārslēgšana,No (0Y/0M/3N),,
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,Yes,Automātiskā tālās gaismas pārslēgšana,Yes,☑,Automātiskā tālās gaismas pārslēgšana,Yes (3Y/0M/0N),"""Automātiskā tālās gaismas pārslēgšana""",
NR47,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,Yes,☑,LED priekšējie lukturi,Yes (3Y/0M/0N),"""LED priekšējie lukturi""",
NR48,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No,☐,,No (0Y/0M/3N),,
NR49,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No,☐,,No (0Y/0M/3N),,
NR50,Interjers – Komforts/Ērtības,Y,,,,☐,,,,
NR51,Gaisa kondicionētājs – EATC 1 zona,N,No,,No,☐,,No (0Y/0M/3N),,
NR52,Gaisa kondicionētājs – EATC 2 zonas,N,Yes,Divu zonu automātiskā klimata kontrole,Yes,☑,Divu zonu automātiskā klimata kontrole,Yes (3Y/0M/0N),"""Divu zonu automātiskā klimata kontrole""",
NR53,Gaisa kondicionētājs – EATC 3 zonas,N,No,,No,☐,,No (0Y/0M/3N),,
NR54,Salona gaisa attīrītājs,N,No,,No,☐,,No (0Y/0M/3N),,
NR55,Centrālā konsole ar roku balstu,N,No,,No,☐,,No (0Y/0M/3N),,
NR56,Apgaismojums – salons ar daudzkrāsu LED,N,No,,No,☐,,No (0Y/0M/3N),,
NR57,Automātiski tumšojams salona spogulis,N,Yes,Automātiski tonējoši atpakaļskata spoguļi,Maybe,☑,Automātiski tonējoši atpakaļskata spoguļi,Maybe (2Y/1M/0N),"""Automātiski tonējoši atpakaļskata spoguļi""",
NR58,Elektrības pieslēgums – aizmugurē,N,No,,Yes,☑,12V / 120W ligzda bagāžas nodalījumā,Maybe (1Y/0M/2N),"""12V / 120W ligzda bagāžas nodalījumā""",
NR59,Bezvadu uzlāde,N,No,,No,☐,,No (0Y/0M/3N),,
NR60,Interjers – In Car Entertainment/Komunikācijas,Y,,,,☐,,,,
