Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR30,Piedziņa,Y,,,
NR31,4X4 Full time (4WD / AWD),N,No,,No equivalent 4X4 feature found
NR32,Pārnesumkārba,Y,,,
NR33,Automātiskā pārnesumkārba,N,No,,No equivalent automatic transmission feature found
NR34,Hibrīda Tehnoloģija,Y,,,
NR35,mHEV,N,No,,No equivalent mild hybrid feature found
NR36,FHEV,N,No,,No equivalent full hybrid feature found
NR37,PHEV,N,No,,No equivalent plug-in hybrid feature found
NR38,Krāsa,Y,,,
NR39,Metāliska krāsa kā standarts,N,No,,No equivalent metallic paint feature found
NR40,Ārējais Izskats -  Funkcionalitāte,Y,,,
NR41,Durvju spoguļi - elektriski/sildāmi,N,Yes,"Black side mirrors with integrated turn indicators, electrically adjustable and heated",Matches electrically adjustable and heated mirrors
NR42,Durvju spoguļi - elektriski/sildāmi/salokāmi,N,Yes,Heated and automatically folding side mirrors,"Matches electrically adjustable, heated, and folding mirrors"
NR43,Priekšējie vējstikla tīrītāji - automātiski,N,Yes,Automatic windshield wipers with rain sensor,Matches automatic windshield wipers
NR44,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,,No equivalent tinted glass feature found
NR45,Sildāms vējstikls,N,No,,No equivalent heated windshield feature found
NR46,Bagāžnieka durvis - elektriskas,N,No,,No equivalent electric tailgate feature found
NR47,Jumta sliedes,N,No,,No equivalent roof rails feature found
NR48,Panorāmas jumts,N,No,,No equivalent panoramic roof feature found
NR49,Ārējais Izskats -  Apgaismojums,Y,,,
NR50,Dienas gaismas - LED,N,Yes,"LED front headlights, LED daytime running lights, and rear LED fog light",Matches LED daytime running lights
NR51,Priekšējie miglas lukturi - LED,N,No,,No equivalent front LED fog lights feature found
NR52,Priekšējie miglas lukturi - LED integrēti,N,No,,No equivalent integrated LED fog lights feature found
NR53,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana,N,Yes,Intelligent automatic front headlights,Matches automatic headlight control
NR54,Priekšējo lukturu vadība - automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,,No equivalent automatic headlight control with high/low beam feature found
NR55,Priekšējie lukturi - LED,N,Yes,"LED front headlights, LED daytime running lights, and rear LED fog light",Matches LED front headlights
NR56,Priekšējie lukturi - adaptīvie LED bez Matrix vai Glare Free,N,No,,No equivalent adaptive LED headlights feature found
NR57,Priekšējie lukturi - adaptīvie LED ar Matrix vai Glare Free,N,No,,No equivalent adaptive LED headlights with Matrix feature found
NR58,Interjers -  Komforts/Ērtības,Y,,,
NR59,Gaisa kondicionētājs,N,No,,No equivalent air conditioning feature found
NR60,Gaisa kondicionētājs - EATC 1 zona,N,Yes,Automatic climate control system,Matches single-zone automatic climate control
NR61,Gaisa kondicionētājs - EATC 2 zonas,N,No,,No equivalent dual-zone automatic climate control feature found
NR62,Gaisa kondicionētājs - EATC 3 zonas,N,No,,No equivalent tri-zone automatic climate control feature found
NR63,Salona gaisa attīrītājs,N,No,,No equivalent air purifier feature found
NR64,Apgaismojums - Interjers ar daudzkrāsu LED,N,No,,No equivalent interior LED lighting feature found
NR65,Centrālā konsole ar roku balstu,N,Yes,Front armrest and two cup holders,Matches central console with armrest
NR66,Automātiski tumšojams salona spogulis,N,No,,No equivalent auto-dimming mirror feature found
NR67,12 V bagāžas nodalījumā,N,No,,No equivalent 12V luggage compartment feature found
NR68,Bezvadu uzlāde,N,No,,No equivalent wireless charging feature found
NR69,Interjers – In Car Entertainment/Komunikācijas,Y,,,
NR70,"Daudzfunkcionāls skārienjūtīgais ekrāns – 6–7,9 collas",N,Yes,"7"" color Advanced Driver Assist Display (ADAD) in the instrument panel",Matches multifunction touchscreen display
NR71,"Daudzfunkcionāls skārienjūtīgais ekrāns – 8–9,9 collas",N,No,,No equivalent 8-9.9 inch touchscreen feature found
NR72,"Daudzfunkcionāls skārienjūtīgais ekrāns – 10–11,9 collas",N,No,,No equivalent 10-11.9 inch touchscreen feature found
NR73,"Daudzfunkcionāls skārienjūtīgais ekrāns – 12 collas """,N,Yes,"12.3"" touchscreen display",Matches multifunction touchscreen display
